Mach,CD Power-Off,CD Power-On
0.01,0.299153958,0.290801159
0.02,0.350207604,0.341854805
0.03,0.361133779,0.352780979
0.04,0.363669216,0.355316416
0.05,0.363547214,0.355194414
0.06,0.362428192,0.354075393
0.07,0.360919995,0.352567195
0.08,0.3592768,0.350924001
0.09,0.357613223,0.349260423
0.1,0.356901916,0.348549117
0.11,0.356870667,0.348517867
0.12,0.356839435,0.348486636
0.13,0.356808221,0.348455422
0.14,0.356777025,0.348424226
0.15,0.356745847,0.348393048
0.16,0.356714687,0.348361888
0.17,0.356683546,0.348330746
0.18,0.356652423,0.348299623
0.19,0.356621319,0.348268519
0.2,0.356590233,0.348237434
0.21,0.356559167,0.348206367
0.22,0.35652812,0.34817532
0.23,0.356497092,0.348144292
0.24,0.356466083,0.348113284
0.25,0.356435094,0.348082294
0.26,0.356533511,0.348180711
0.27,0.356631965,0.348279165
0.28,0.356730421,0.348377622
0.29,0.356828898,0.348476098
0.3,0.356927412,0.348574612
0.31,0.357025929,0.348673129
0.32,0.357124483,0.348771684
0.33,0.357223041,0.348870242
0.34,0.35732162,0.348968821
0.35,0.357420237,0.349067437
0.36,0.357518857,0.349166058
0.37,0.357617498,0.349264699
0.38,0.357716178,0.349363378
0.39,0.357814862,0.349462062
0.4,0.357913584,0.349560784
0.41,0.35801231,0.349659511
0.42,0.358111058,0.349758259
0.43,0.358209845,0.349857045
0.44,0.358308653,0.349955853
0.45,0.358407466,0.350054667
0.46,0.358506301,0.350153502
0.47,0.358605175,0.350252376
0.48,0.358704054,0.350351255
0.49,0.358802956,0.350450156
0.5,0.358901896,0.350549097
0.51,0.359000843,0.350648043
0.52,0.359099828,0.350747028
0.53,0.359198819,0.350846019
0.54,0.359297833,0.350945033
0.55,0.359396886,0.351044087
0.56,0.359495945,0.351143146
0.57,0.359595027,0.351242228
0.58,0.359694149,0.35134135
0.59,0.359793294,0.351270531
0.6,0.359892445,0.351199718
0.61,0.360225762,0.351363071
0.62,0.360550706,0.35151805
0.63,0.360875673,0.351673054
0.64,0.361200663,0.35182808
0.65,0.361525661,0.351983113
0.66,0.361850698,0.352138187
0.67,0.362175759,0.352293284
0.68,0.362500844,0.352448405
0.69,0.362825952,0.352603549
0.7,0.363151085,0.352758717
0.71,0.363476241,0.352913909
0.72,0.36380142,0.353069125
0.73,0.364126624,0.353224365
0.74,0.364451852,0.353379629
0.75,0.364777104,0.353534917
0.76,0.36510238,0.353690229
0.77,0.365427664,0.353845549
0.78,0.365752988,0.354000909
0.79,0.366078337,0.354156294
0.8,0.36640371,0.354311703
0.81,0.366729107,0.354467136
0.82,0.367054529,0.354622594
0.83,0.367379975,0.354778076
0.84,0.367705446,0.354933583
0.85,0.368030941,0.355089115
0.86,0.368356444,0.355244654
0.87,0.368682006,0.355400251
0.88,0.369007558,0.35555584
0.89,0.369333152,0.35571147
0.9,0.369658771,0.355867125
0.91,0.372172451,0.358287021
0.92,0.37971349,0.36554671
0.93,0.392959518,0.37819563
0.94,0.408140016,0.392603935
0.95,0.423320514,0.40701224
0.96,0.438501012,0.421420545
0.97,0.45368151,0.43582885
0.98,0.468862008,0.450237155
0.99,0.484042506,0.46464546
1,0.499223004,0.479053765
1.01,0.514403502,0.49346207
1.02,0.529584001,0.507870375
1.03,0.544764499,0.52227868
1.04,0.559944997,0.536686985
1.05,0.575125495,0.55109529
1.06,0.574395506,0.550467102
1.07,0.573675136,0.549848533
1.08,0.572964154,0.549239353
1.09,0.572262297,0.548639297
1.1,0.571569362,0.548048164
1.11,0.570885055,0.547465658
1.12,0.570209191,0.546891595
1.13,0.569541495,0.546325701
1.14,0.568938348,0.545824354
1.15,0.568391208,0.545379016
1.16,0.567357146,0.544446755
1.17,0.566340306,0.543531717
1.18,0.565356889,0.542650101
1.19,0.564201995,0.541597009
1.2,0.562548913,0.539979557
1.21,0.560930777,0.538361421
1.22,0.559346596,0.53677724
1.23,0.557795492,0.535226136
1.24,0.556276731,0.533707375
1.25,0.554789675,0.532220319
1.26,0.553333765,0.530764409
1.27,0.55190849,0.529339134
1.28,0.550513402,0.527944046
1.29,0.549148049,0.526578693
1.3,0.547812093,0.525242737
1.31,0.546505165,0.523935809
1.32,0.54522693,0.522657574
1.33,0.543977094,0.521407738
1.34,0.542755376,0.52018602
1.35,0.541561516,0.51899216
1.36,0.540395255,0.517825899
1.37,0.539256352,0.516686996
1.38,0.538144614,0.515575258
1.39,0.537059816,0.51449046
1.4,0.536001755,0.513432399
1.41,0.534970247,0.512400891
1.42,0.533965137,0.511395781
1.43,0.53298625,0.510416894
1.44,0.532033416,0.50946406
1.45,0.531106496,0.50853714
1.46,0.530205357,0.507636001
1.47,0.52932984,0.506760484
1.48,0.528479855,0.505910499
1.49,0.527655269,0.505085913
1.5,0.526855973,0.504286617
1.51,0.526081815,0.503512459
1.52,0.525332775,0.502763418
1.53,0.524608691,0.502039335
1.54,0.523909527,0.501340171
1.55,0.523235158,0.500665802
1.56,0.522585528,0.500016172
1.57,0.52196056,0.499391204
1.58,0.52097571,0.498406354
1.59,0.519292108,0.496722752
1.6,0.51762178,0.495052424
1.61,0.515964362,0.493395006
1.62,0.514319543,0.491750187
1.63,0.512686979,0.490117623
1.64,0.511066373,0.488497017
1.65,0.509457408,0.486888052
1.66,0.507859845,0.485290489
1.67,0.506273372,0.483704016
1.68,0.504697776,0.48212842
1.69,0.503132739,0.480563383
1.7,0.501578093,0.479008737
1.71,0.500033568,0.477464212
1.72,0.498498954,0.475929598
1.73,0.496974028,0.474404672
1.74,0.495458596,0.47288924
1.75,0.493952456,0.4713831
1.76,0.492455409,0.469886053
1.77,0.490967308,0.468397952
1.78,0.489487948,0.466918592
1.79,0.488017144,0.465447788
1.8,0.486554746,0.46398539
1.81,0.485100615,0.462531258
1.82,0.483654569,0.461085213
1.83,0.482216479,0.459647123
1.84,0.480786158,0.458216802
1.85,0.479363538,0.456794182
1.86,0.477948443,0.455379087
1.87,0.476540755,0.453971399
1.88,0.475140313,0.452570957
1.89,0.473747048,0.451177692
1.9,0.472360805,0.449791449
1.91,0.470981483,0.448412127
1.92,0.469608953,0.447039597
1.93,0.46824313,0.445673774
1.94,0.466883911,0.444314555
1.95,0.465531176,0.44296182
1.96,0.464184827,0.441615471
1.97,0.462844779,0.440275423
1.98,0.461510941,0.438883685
1.99,0.460183201,0.437498046
2,0.458861482,0.436118427
2.01,0.45766977,0.434868816
2.02,0.456479129,0.433620276
2.03,0.455295951,0.432379198
2.04,0.454120133,0.43114548
2.05,0.452951561,0.429919009
2.06,0.451790177,0.428699725
